1000 100
\x00	-0.20922011 -0.35966617 0.15251204 0.08857263 0.049511723 0.24389738 0.2659641 -0.018829167 0.21723036 0.041809916 -0.120159976 -0.28014025 0.03472714 -0.2977372 -0.23210487 -0.076784536 -0.37282512 -0.008372888 0.084194764 -0.37059215 0.23196691 0.24911417 0.40175682 0.11267383 -0.07225852 0.05279962 -0.1830125 -0.0054255277 0.058940783 -0.34220392 -0.29327968 0.11506286 -0.28117597 0.3186614 -0.053466655 0.16327213 -0.03847775 0.012013331 -0.3699937 0.17269161 -0.07926 -0.18310763 0.37480557 0.047404677 -0.34592313 -0.28944674 0.17607962 -0.09288534 0.36012068 0.44024727 0.073344916 0.014513002 -0.029829398 -0.21646178 0.059245795 -0.00820069 0.104167365 0.263998 -0.013088256 0.31083107 0.13950074 0.21259516 -0.06286481 0.041524813 -0.032295927 0.048647657 0.096727386 0.14149664 -0.020116366 -0.15071957 0.12133394 -0.20473954 0.23028915 -0.048703596 -0.21773888 -0.043826908 0.026767537 0.048786305 -0.049129542 -0.18550405 -0.01822503 -0.1933166 0.14765047 0.32180986 0.13029084 0.020237416 0.17420223 -0.24260904 0.2565376 -0.41205788 0.18034081 0.1757769 0.22006926 0.062948585 0.22546974 -0.055889565 -0.13506553 -0.24726565 0.06851779 0.014663793
\x01	-0.042510457 -0.40366447 0.3808955 -0.27623436 0.048194006 -0.31091973 -0.18069947 -0.002027601 0.15203246 0.2755211 -0.17550494 -0.028902456 -0.1975702 0.12739192 -0.23534358 -0.2312175 0.12514298 -0.051033814 0.36127722 0.22294188 0.18282889 0.070706636 0.3513741 0.2830153 0.31602743 -0.26710516 -0.2628359 0.19527532 -0.15887901 0.19166426 0.20809056 0.41754025 -0.0052823275 0.07475822 0.23012033 -0.009383298 -0.338413 -0.3209385 0.0076332465 -0.063980594 -0.39741355 0.17864938 0.2635162 -0.22861573 -0.108054325 0.030156992 -0.12765417 0.0012607549 -0.012706816 0.193521 -0.24400175 -0.027810972 0.07615536 0.1454098 -0.046104074 0.116563186 -0.036484808 0.24159127 0.0827077 0.18961471 0.107045285 -0.29744318 0.11840137 -0.12503952 -0.22997428 -0.076866925 0.15035614 0.3513443 0.14924598 -0.2236236 0.16419229 -0.12019522 -0.33888656 0.30412698 0.22388786 -0.30859914 -0.30612126 -0.32998866 0.24465 -0.038233854 0.4309094 0.44733357 -0.3163567 -0.25228846 -0.020875916 -0.025611386 0.19208163 0.06404898 -0.053207755 0.18920696 0.072651036 -0.1884062 0.037504256 -0.105682 -0.028276771 -0.15148115 0.3076079 0.28397918 0.14113614 0.0054877396
\x02	0.24668474 0.20889238 -0.15760243 0.11082117 0.09534609 0.073372245 -0.3287952 -0.116772845 -0.2052807 0.09683901 -0.38567153 0.1940168 -0.17503153 0.020516008 -0.038918883 0.004286371 0.20423128 0.31167668 -0.41865394 -0.05071103 0.07614816 -0.019114219 0.10714711 -0.4484288 0.30681795 0.07991329 0.35042495 0.024780974 0.14000064 0.30855668 -0.10368626 -0.017068744 -0.04792261 -0.2361262 0.25050446 -0.16593096 0.11468077 0.32656038 0.1383672 -0.21175253 -0.06698867 -0.049553208 0.10456117 -0.015460297 0.14981288 0.15314251 0.3011385 0.03873977 -0.16566348 -0.075649396 -0.13179138 -0.26060277 0.06489369 -0.22914124 0.4656343 -0.24577986 -0.2012453 -0.15369742 0.05619783 -0.19317985 -0.2625245 0.12769118 0.26518857 0.44379163 0.17928693 -0.32885808 0.16051638 0.0059446245 -0.096523464 0.1271197 0.058216646 -0.081472196 0.15701306 0.051134333 -0.35253307 -0.21974114 -0.20479032 -0.17864083 0.12894912 -0.24269922 0.13695517 -0.15792048 0.0029607425 0.001995489 0.2138122 0.032180876 -0.38946134 0.3614403 -0.0902852 -0.14685269 0.01957567 0.4325801 -0.31989533 -0.053330835 0.32089365 0.06856448 0.23678474 -0.18697558 -0.13884874 0.28727183
\x03	0.42486137 0.15734367 0.1641286 0.40626073 -0.24203601 -0.27928254 0.38639325 0.2954908 0.45378232 0.07002123 0.38906357 0.15677048 0.088299975 0.013311617 0.00449042 -0.27161986 0.08393362 0.15461057 -0.118406214 0.0115541555 -0.21233559 -0.23783292 0.39855462 -0.32966733 0.018120566 -0.41798934 0.26266536 0.061574996 -0.018921673 -0.05190599 0.15146971 -0.26834244 0.34188956 0.009166881 0.26734653 0.05002825 0.13163565 -0.15380107 -0.13297631 0.24153915 0.45986646 0.13334209 0.15856756 0.34124213 0.23447517 -0.08408785 0.11808281 -0.27048236 5.185546e-06 0.20112701 -0.4238051 0.16842544 0.2208254 -0.10829974 -0.22037275 0.18905602 -0.46253285 0.34213084 0.06738682 -0.28116876 -0.054300517 0.37721127 0.13214251 -0.34496474 -0.1574448 -0.12324202 -0.036278397 -0.014807314 0.3057011 -0.1714571 -0.053262338 -0.17029768 -0.13155079 0.07305643 -0.07286969 0.18330264 0.17035338 0.2496672 0.004639223 -0.27191296 -0.16507898 -0.47685796 0.26960254 -0.31191483 -0.18964359 0.24431697 -0.074362725 0.45738176 -0.11474493 -0.15013182 -0.25356525 -0.19864933 -0.113556325 0.054703392 -0.066201895 0.17376196 0.27253866 -0.39509982 0.11183534 0.104453444
\x04	-0.07504384 0.10361099 -0.1430028 -0.16356435 -0.37931743 -0.014765069 -0.09713547 0.2904856 0.21585354 0.0072791725 -0.35918397 0.1269241 0.19317529 0.12915727 0.23590288 0.093162164 -0.13403767 -0.068697765 0.22828734 0.06819607 0.08750273 -0.09787376 -0.044473022 0.22232546 -0.01701352 0.034794357 0.019133836 0.017146662 0.010119155 0.2380481 -0.0999522 0.27576634 -0.072867885 -0.034157395 0.1782386 -0.31530583 -0.01859662 -0.11040802 0.0997099 0.2633654 0.17701922 -0.23346128 -0.2614596 -0.026780427 -0.12894908 -0.00985102 0.17510045 0.2063886 0.426435 0.16352127 -0.08107486 -0.08054088 -0.37368226 -0.18595245 -0.31336436 0.17377761 -0.03491238 0.17003056 0.076873265 0.013434872 0.15103659 -0.27848628 -0.24644297 -0.05633829 -0.00018353015 -0.1577178 -0.1943722 -0.12826619 -0.0288969 -0.48494512 0.057228453 -0.16678655 0.05407443 0.16189629 0.24679373 -0.21227714 -0.30598664 -0.042926773 0.024834834 0.058234274 -0.3803072 -0.15461956 0.09115061 0.19852467 -0.019580439 0.0152217895 -0.107504666 0.0040776283 -0.063832074 0.042056575 -0.30253977 0.045074478 0.35846534 -0.12016986 -0.038745746 -0.2864557 0.39548522 -0.13024253 0.07509847 0.40426126
\x05	-0.046993554 0.037442505 0.09928447 -0.014612168 0.3419382 -0.10658588 -0.3033534 0.04083572 0.047352478 0.054392554 -0.4040106 -0.056408912 0.2181099 -0.18849827 -0.3810476 -0.07536954 -0.010581784 -0.031901173 0.24276239 -0.18114997 -0.14054511 0.26095712 -0.011671627 -0.08281815 -0.1698834 0.14337605 -0.030141117 -0.04322572 0.124067284 0.007345505 -0.19995289 0.09266964 -0.06537542 -0.20358506 -0.12878752 0.0616024 -0.22401533 0.40283957 -0.12519482 0.11218372 -0.35726422 0.06011809 -0.06507374 -0.05001606 -0.25849396 -0.00048647262 0.1475158 -0.17500272 0.011582606 0.24711347 0.2913329 -0.16589405 0.011017092 -0.24814934 0.2530534 -0.03585568 -0.025473349 0.14158235 0.041146692 -0.25062573 -0.16421805 0.29459465 0.005742803 -0.229419 0.040144593 -0.109039575 0.064291716 -0.13437891 0.4518925 -0.07125059 0.26335537 -0.17249697 -0.21437074 0.07572934 0.29322773 -0.23132612 0.060036093 -0.35654467 -0.02429568 -0.11100047 0.08295081 0.26852968 0.119203046 -0.16435675 -0.11665984 -0.40088308 0.02154997 0.014632404 0.001748845 -0.006622702 0.116338536 0.04974295 -0.1506727 -0.21663845 -0.3447768 -0.093576714 -0.06546855 0.25348228 -0.06424461 0.18903153
\x06	-0.28321704 0.18993607 -0.1915475 -0.16195403 0.0039220806 0.17691979 0.061151095 0.3843529 0.0077795386 -0.004940957 -0.0037145726 0.30452952 -0.22022896 0.08311301 0.39469945 0.19490299 -0.1876191 0.25039557 -0.26733345 -0.12894152 -0.041289177 -0.15469688 0.015432507 0.052995212 0.045633346 -0.22818321 -0.21259612 0.42272282 0.23042865 -0.08675803 0.044549406 -0.44220898 0.35319036 -0.2934598 -0.3094967 0.23502107 -0.23413476 0.28231373 0.1862248 -0.16655403 0.13586126 -0.17492354 -0.33920193 -0.16210164 0.16414888 -0.07485617 -0.079871304 -0.22233385 0.05058935 0.1408641 -0.081701934 -0.13203013 -0.13271141 0.14953148 0.06900409 -0.10303516 -0.08725467 -0.014246285 -0.051592216 -0.013357751 0.21927185 -0.1823442 -0.25985795 0.3623463 0.050075267 0.030335426 -0.4838651 0.09540712 -0.03868532 0.12798369 -0.08220482 -0.23286998 -0.056938775 0.018401816 0.01733534 -0.22595009 0.091629975 0.118472755 -0.1155411 -0.4080584 -0.030182742 0.0019076467 0.10381366 -0.29268426 -0.13229369 0.28220844 0.12680167 0.25220326 -0.005310163 0.29250583 0.11711206 -0.017706081 0.08855625 -0.030630857 0.13193154 -0.035342347 0.16959378 0.08868399 0.01890735 0.092588864
\x07	0.1372439 0.1851438 -0.090027176 -0.3550372 -0.032113135 0.20991373 -0.24664228 -0.31772888 -0.027079817 -0.23616576 0.30510846 -0.0020501167 0.3335507 0.1778698 0.09662428 -0.05778396 -0.031555355 -0.34445494 0.18757357 0.0674372 -0.4091318 0.22407815 -0.17578708 -0.30222294 0.060927093 -0.1498205 0.36726558 0.02806826 0.3704428 0.2677778 -0.012360409 0.2703913 0.30199125 0.018845394 -0.031177327 -0.13011357 -0.32616097 -0.0115843415 0.1674771 -0.0708518 0.02619742 -0.03740642 -0.04017712 -0.39131963 0.1966431 -0.012869783 -0.26769134 -0.28126967 0.118998714 0.13218924 0.36390787 -0.17056349 -0.21599557 -0.12331263 0.17621474 -0.029679678 0.23740208 0.06398094 0.048907354 -0.14267007 0.017417952 0.3779617 -0.02590555 -0.11085102 0.21052957 -0.17256206 -0.3099272 -0.0040026046 -0.2069621 -0.09442808 0.07401113 0.11442441 0.0672787 0.2273336 -0.039112605 0.09091827 -0.30389223 -0.35180348 -0.05172807 0.1223415 -0.3071204 -0.013136495 -0.08813274 0.35602552 0.07162264 -0.0008153394 -0.18453056 0.083783194 -0.38682422 -0.17100093 0.3338151 -0.048312813 0.30925554 -0.003781557 -0.44261307 0.019685766 -0.07393303 0.14976457 -0.13417193 -0.30109358
\x08	0.0021235347 0.3463031 -0.12987012 0.15511149 -0.30904084 -0.08065006 -0.093403056 0.15116465 0.034395188 -0.15932235 0.1710299 0.0376997 -0.32786372 -0.14460869 0.033883613 -0.3070944 -0.48711878 0.055922236 -0.12622079 -0.32175103 -0.011591658 -0.12799671 0.13835573 -0.120842315 -0.34781665 -0.1586906 0.1298509 -0.024045274 -0.38125485 0.17849468 -0.39504212 -0.13163519 -0.30500776 0.33797532 0.043183118 -0.20142496 0.11722331 -0.09473005 0.14572053 -0.082405865 0.23484974 -0.0750089 0.08391361 -0.14670166 0.20618205 -0.23920205 0.08368172 0.17558551 0.26832008 0.17565921 -0.33567223 -0.14050817 -0.32900202 -0.0534605 -0.15512307 -0.100841776 -0.21681978 0.10644452 0.30326954 0.025852438 -0.1660244 0.23745461 0.09788016 -0.08364463 -0.30312142 0.22058281 0.08738244 0.44718504 -0.1288773 -0.2918176 0.089342244 -0.18516013 0.32578516 -0.22175854 -0.05865153 0.043916374 -0.14374462 -0.1721579 0.3448444 -0.17458537 -0.12385966 -0.3144348 0.02119768 0.24255106 0.36100358 0.114949554 -0.04163628 0.37426612 0.008655071 0.23457156 0.1068867 -0.108983144 -0.398541 0.06688981 0.28304148 0.033188894 -0.1749519 0.13800822 -0.16481033 -0.20820716
\x09	-0.3368729 0.27171656 -0.04404378 0.41278917 -0.07242502 0.31718445 -0.052616753 -0.032556925 -0.02065301 0.3881712 -0.13942097 0.28054214 0.2524523 -0.12120609 0.4349943 -0.08157707 0.083567604 -0.12082453 -0.20538945 0.074998096 0.21387148 -0.3961864 -0.20010889 -0.42550704 0.33194268 0.044625796 0.037208617 0.07279007 0.020249356 0.0029665977 0.21324596 -0.011877313 -0.036732882 0.22193485 -0.15085822 -0.31628135 0.4669891 -0.008216292 0.10399923 0.31261265 0.296454 0.10462932 -0.1502911 -0.0022297204 0.09315296 0.105366796 -0.040658116 0.15644313 -0.16569425 -0.34767872 0.12052514 -0.28999406 -0.056242656 -0.03640435 0.021162502 0.27472758 0.22945587 -0.17514175 -0.30401015 -0.25256717 0.08941899 -0.13362648 -0.10628411 -0.3979206 0.42332458 -0.17959304 0.22940622 0.23049028 -0.10602765 0.13401738 0.2347589 0.27165514 0.10121467 -0.120527156 -0.047131605 0.1646811 -0.15570301 0.19481716 -0.45045468 0.024676453 0.16617247 -0.12687434 -0.08495506 -0.1176017 -0.11314504 0.06463061 -0.3162673 -0.056446016 -0.33867604 -0.13673438 -0.24570483 -0.11610276 0.33928865 0.03786507 0.19697051 -0.15360078 0.13036335 0.039266042 0.013931066 -0.3932374
